document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
,ID,A rdfs:isDefinedBy,,,A owl:deprecated,,,,A rdfs:label,A rdfs:comment,A dcterms:description,A IAO:0000112,TYPE,,DOMAIN,,
2020-07-26T09:45:40-05:00,DWC:acceptedNameUsage,http://rs.tdwg.org/dwc/terms/,9/21/09,10/6/17,,http://rs.tdwg.org/dwc/terms/acceptedScientificName,,,Accepted Name Usage,"The full name, with authorship and date information if known, of the currently valid (zoological) or accepted (botanical) taxon.",,`Tamias minimus` (valid name for Eutamias minimus).,owl:DataProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,simple
2020-07-26T09:45:40-05:00,DWC:acceptedNameUsageID,http://rs.tdwg.org/dwc/terms/,9/21/09,10/6/17,,http://rs.tdwg.org/dwc/terms/acceptedTaxonID,,,Accepted Name Usage ID,An identifier for the name usage (documented meaning of the name according to a source) of the currently valid (zoological) or accepted (botanical) taxon.,,`8fa58e08-08de-4ac1-b69c-1235340b7001`,owl:DataProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,simple
2017-09-23T06:53:00-05:00,DWC:acceptedScientificName,http://rs.tdwg.org/dwc/terms/,7/6/09,9/21/09,TRUE,http://rs.tdwg.org/dwc/terms/acceptedTaxonName,,,Accepted Scientific Name,The currently valid (zoological) or accepted (botanical) name for the scientificName.,"Example: ""Tamias minimus"" valid name for ""Eutamias minimus""",,owl:DataProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,
2017-09-23T06:53:00-05:00,DWC:acceptedScientificNameID,http://rs.tdwg.org/dwc/terms/,7/6/09,8/24/09,TRUE,http://rs.tdwg.org/dwc/terms/acceptedTaxonNameID,,,Accepted Scientific Name ID,A unique identifier for the acceptedScientificName.,,,owl:DataProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,
2017-09-23T06:53:00-05:00,DWC:AcceptedTaxon,http://rs.tdwg.org/dwc/terms/,11/19/08,4/24/09,TRUE,,,,Accepted Taxon,The currently valid (zoological) or accepted (botanical) name for the ScientificName.,,,owl:DataProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,
2017-09-23T06:53:00-05:00,DWC:AcceptedTaxonID,http://rs.tdwg.org/dwc/terms/,1/21/09,4/24/09,TRUE,,,,Accepted Taxon ID,A global unique identifier for the parent to the AcceptedTaxon.,,,owl:DataProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,
2017-09-23T06:53:00-05:00,DWC:acceptedTaxonID,http://rs.tdwg.org/dwc/terms/,8/24/09,9/21/09,TRUE,http://rs.tdwg.org/dwc/terms/acceptedScientificNameID,,,Accepted Taxon ID,An identifier for the name of the currently valid (zoological) or accepted (botanical) taxon. See acceptedTaxon.,"Example: ""8fa58e08-08de-4ac1-b69c-1235340b7001""",,owl:DataProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,
2017-09-23T06:53:00-05:00,DWC:acceptedTaxonName,http://rs.tdwg.org/dwc/terms/,4/24/09,7/6/09,TRUE,http://rs.tdwg.org/dwc/terms/AcceptedTaxon,,,Accepted Taxon Name,The currently valid (zoological) or accepted (botanical) name for the scientificName.,"Example: ""Tamias minimus"" valid name for ""Eutamias minimus""",,owl:DataProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,
2017-09-23T06:53:00-05:00,DWC:acceptedTaxonNameID,http://rs.tdwg.org/dwc/terms/,4/24/09,7/6/09,TRUE,http://rs.tdwg.org/dwc/terms/AcceptedTaxonID,,,Accepted Taxon Name ID,A unique identifier for the acceptedTaxonName.,,,owl:DataProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,
2017-09-23T06:53:00-05:00,DWC:AccessConstraints,http://rs.tdwg.org/dwc/terms/,11/19/08,9/21/09,TRUE,,,,Access Constraints,A description of constraints on the use of the data as shared or access to further data that is not shared.,"Example: ""not-for-profit use only"".",,owl:DataProperty,DataSets/DataSet/Units/Unit/IPRStatements,http://rs.tdwg.org/dwc/terms/Sample,,
